driverId,week,hours-logged,miles-logged
75,38,53,2100
12,21,74,1100
73,9,70,2600
54,28,55,1500
67,39,60,1400
19,9,60,3200
103,7,56,800
64,13,55,2200
32,8,79,600
27,33,62,2800
106,42,74,3600
91,21,60,3100
37,36,67,2200
45,10,58,700
97,33,63,3200
74,46,78,2100
81,42,62,500
109,22,70,1000
28,17,72,2100
34,13,65,1200
93,28,66,3300
67,1,72,2600
80,37,67,900
12,16,71,1400
36,40,75,1000
80,5,70,3300
106,17,74,3200
68,1,55,2300
20,20,59,100
40,42,65,1000
45,50,53,600
95,36,55,2600
86,7,58,2900
72,45,72,700
97,33,71,1000
68,34,64,3100
94,23,80,2700
50,13,63,2100
46,11,79,2800
16,37,63,3300
93,34,62,3800
71,21,57,0
87,3,69,2700
95,10,54,2900
72,43,65,800
104,10,71,1900
60,16,79,1600
105,7,79,2400
40,31,75,3800
31,15,65,2800
39,30,65,2900
41,14,73,1500
101,36,56,1600
100,6,73,1300
87,5,66,2500
28,27,50,3100
21,32,74,2600
62,49,67,2800
66,7,79,2300
78,23,55,3900
65,1,60,2100
74,12,56,400
11,45,64,3500
68,51,71,3800
67,3,77,300
50,41,57,1300
60,44,64,400
42,8,52,400
42,13,72,2000
97,12,57,2800
78,1,55,400
72,20,58,2400
85,7,72,1100
58,15,53,3600
13,8,56,2100
28,25,61,3900
58,41,65,2700
61,10,60,700
107,27,71,3300
109,3,61,400
54,13,77,1100
81,35,50,2400
84,51,61,3400
81,11,69,1700
94,20,63,4000
69,39,76,300
97,30,74,3300
63,29,59,200
19,26,50,700
104,39,76,3700
39,46,60,500
53,50,64,2100
108,32,71,1500
48,52,77,2300
38,9,52,3100
93,40,61,500
57,5,79,2700
24,35,63,800
85,31,54,2400
90,22,53,1700
75,4,60,100
33,20,72,3600
41,31,72,500
60,41,79,300
92,30,56,1700
68,1,73,1500
48,43,65,300
89,19,80,3300
109,21,52,1200
38,13,65,2500
94,16,58,2200
59,47,74,3000
26,49,71,100
77,24,78,4000
34,29,66,1600
28,7,63,1100
46,20,57,200
62,43,52,2800
87,48,77,2300
46,32,75,3200
21,29,75,1400
49,38,54,2100
94,16,53,1800
106,17,77,2900
108,25,80,500
21,40,61,800
107,25,50,3200
74,45,70,2200
20,21,79,500
23,29,55,1100
52,49,80,3600
69,5,77,3700
10,20,80,1200
93,44,55,100
11,3,69,3400
105,37,58,3400
35,2,60,300
11,45,79,900
49,45,74,3400
71,41,54,3800
99,1,74,2500
58,6,80,2500
19,27,51,1000
28,11,75,4000
23,17,77,2700
107,52,60,3000
44,41,73,3400
16,44,76,2200
32,9,51,2000
48,27,67,3800
38,22,60,1700
66,4,53,4000
100,46,53,1000
59,12,60,3600
18,39,51,1900
90,27,52,3900
16,2,64,800
92,40,55,3700
35,7,61,2000
18,52,63,3500
84,33,60,4000
21,20,79,3300
43,22,68,3400
48,45,69,1800
57,44,78,1900
61,25,61,1900
95,31,51,3800
21,33,57,3700
107,13,56,2700
107,49,74,2300
11,43,50,1400
22,33,78,200
99,6,62,3400
62,26,54,2100
67,19,64,1100
75,23,75,2100
89,23,60,700
82,26,74,3800
12,17,65,2400
68,28,58,900
94,9,58,800
92,45,53,3400
21,21,65,200
22,23,59,300
53,18,67,3000
53,42,58,2100
85,3,55,3500
54,46,54,1200
85,19,65,1600
84,42,76,200
39,42,65,2300
79,11,75,3600
89,35,61,300
59,50,52,1200
102,30,62,900
89,18,71,2400
98,4,73,600
89,45,62,3300
31,10,55,2700
98,35,57,1600
100,49,78,3000
41,17,62,100
74,30,58,2900
56,25,76,500
52,43,70,3500
32,52,57,1800
64,16,67,2100
40,49,59,3500
67,46,73,2800
72,5,65,900
64,39,63,1100
75,25,74,3300
19,48,54,2200
65,5,57,500
46,4,55,1700
